species,longitude,latitude
Mustela nivalis,-83.555212,41.663938
Mustela nivalis,-79.643338,39.574959
Mustela nivalis,-95.795794,48.869803
Mustela nivalis,-87.87798,41.804906
Mustela nivalis,-102.9296837,47.45346738
Mustela nivalis,-102.3162576,46.81057174
Mustela nivalis,-83.66646786,41.01667051
Mustela nivalis,-81.14889536,41.2360687
Mustela nivalis,-83.13365418,42.68055123
Mustela nivalis,-85.9668,42.5712
Mustela nivalis,-84.01257985,42.456253
Mustela nivalis,-83.72617118,42.2707552
Mustela nivalis,-84.20225613,42.935248
Mustela nivalis,-82.49196422,41.32226719
Mustela nivalis,-83.70956956,41.37596579
Mustela nivalis,-102.4508542,46.12307312
Mustela nivalis,-81.30690003,41.62386375
Mustela nivalis,-82.99864751,39.96108614
Mustela nivalis,-98.89565025,46.52698879
Mustela nivalis,-83.23555568,41.24636777
Mustela nivalis,-96.73267889,45.93649954
Mustela nivalis,-82.73504307,43.52664347
Mustela nivalis,-84.72639858,41.07826879
Mustela nivalis,-98.47525839,48.76928934
Mustela nivalis,-100.9838129,46.41067952
Mustela nivalis,-101.0421222,47.13277753
Mustela nivalis,-83.87063645,43.06304702
Mustela nivalis,-85.14220988,40.69107363
Mustela nivalis,-84.42759162,42.16025588
Mustela nivalis,-98.57344534,47.07718897
Mustela nivalis,-100.4437074,47.48647996
Mustela nivalis,-81.597623,40.889568
Mustela nivalis,-91.838227,41.464181
Mustela nivalis,-87.83285,42.446132
Mustela nivalis,-88.448702,42.314744
Mustela nivalis,-87.844512,42.171136
Mustela nivalis,-92.016667,42.166667
Mustela nivalis,-97.41052098,48.41209334
Mustela nivalis,-103.771556,44.967243
Mustela nivalis,-98.05902809,46.9347914
Mustela nivalis,-84.48369418,42.73684972
Mustela nivalis,-84.60729873,43.29164434
Mustela nivalis,-85.37732,42.41205222
Mustela nivalis,-82.32,38.83
Mustela nivalis,-82.15,41.47
Mustela nivalis,-83.2207,39.2398
Mustela nivalis,-82.63,39.75
Mustela nivalis,-84.2,40.33
Mustela nivalis,-81.85,39.61
Mustela nivalis,-82.24,39.74
Mustela nivalis,-83.01,40.28
Mustela nivalis,-82.28,40.23
Mustela nivalis,-81.93,40.56
Mustela nivalis,-81.5843,41.1814
Mustela nivalis,-104.5043452,48.50115838
Mustela nivalis,-101.5570501,48.22807428
Mustela nivalis,-95.79967085,48.58379971
Mustela nivalis,-84.416145,41.503948
Mustela nivalis,-100.889915,46.827492
Mustela nivalis,-100.237701,42.639
Mustela nivalis,-89.778923,43.336487
Mustela nivalis,-87.073128,41.61694
